Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;2-5-2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Aruba;ABW;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andorra;AND;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AFG;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;AGO;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;15.83419637;21.26080568;20.10694102;20.92610423;17.82626379;16.82224471;14.22482628;20.38402901;19.95565663;19.96306424;19.15939481;16.61654958;17.62340548;17.06524881;20.30757411;19.89128882;20.38423602;22.0179649;22.10325106;25.48038842;25.48286109;24.09807593;24.96466182;24.43968302;22.62156237;23.17553601;23.38647827;21.50755447;23.87169018;24.18278236;25.40796258;26.62325501;29.85527273;29.47746721;24.98344414;29.13214857;31.8019257;34.644761;38.07143786;38.95652564;39.55758379;44.17870492;41.3195878;;
Albania;ALB;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;74.66070329;77.17411066;74.36663392;75.39746305;75.74642476;76.19391974;75.88187791;78.02470364;75.01181305;80.92879279;78.03791049;77.83653444;78.87594412;81.09747747;81.43376238;77.05831274;78.63751137;80.38140353;79.69381231;76.59397508;69.82499607;56.07929065;53.47897796;54.8469148;49.54164119;45.45376374;41.44934024;44.09452255;57.1696779;58.01717973;59.97248197;62.37997588;64.52837122;65.57827326;66.48668055;63.55055644;65.12239247;63.13431891;62.92898952;63.00600711;61.7657482;57.63236243;56.37733838;;
Arab World;ARB;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;82.22344884;83.03812271;84.60262362;85.50446305;85.78548008;86.8463538;87.50114566;88.76445871;90.27948876;91.35921468;91.56455578;92.24501113;93.26351052;93.36841441;92.84077833;93.40539229;93.66531041;94.28504895;94.39974645;93.69927096;92.95286455;94.16444249;94.47062823;94.16067709;94.87016331;94.78905266;95.00872771;94.86740648;94.65603511;95.14724616;95.17623974;95.21375452;95.30144656;95.30912751;95.75023015;95.81856093;96.27132846;96.54460328;96.66296897;96.352318;96.49200644;96.62128207;97.13536531;;
United Arab Emirates;ARE;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;100;100;100;100;100;100;100;100;99.99998204;99.99998617;;;99.99998926;99.99999172;;100;100;100;100;100;;99.85522171;99.88737141;99.90964437;99.91496754;99.94355472;99.94282295;99.94722643;99.94811855;99.95015662;99.9547195;99.95831259;99.95793738;99.94094512;99.93398437;99.92669682;99.91931263;99.91786954;99.90919741;99.90351854;99.89986558;99.90545781;99.90761952;;
Argentina;ARG;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;92.88439654;93.26555091;93.37349899;91.5377905;91.64855828;92.13088872;92.3762473;90.95194133;91.36611181;90.27525879;90.01718166;90.44518435;89.16188634;88.45826409;87.15639951;88.45280758;88.16192387;90.18346793;91.37925099;88.65403744;88.85650959;88.80805284;87.69385146;87.01606023;87.10243077;87.70087078;86.8984154;86.78865134;88.28264674;88.39092436;85.99849377;85.80520901;86.01471381;89.326896;89.06128966;88.6627074;89.23601827;90.65765573;89.61999512;89.51092841;89.64165189;89.76689873;88.914994;;
Armenia;ARM;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97.04405518;96.51656694;92.71928489;82.06376731;76.96840312;84.25106362;57.65082395;70.63609757;72.12610749;65.2516387;70.04899236;71.1767448;61.80609664;65.7106213;66.90142761;68.09841787;67.49580824;70.552564;73.28613291;68.2054583;67.40110849;71.54992989;77.33294329;75.49284382;;
American Samoa;ASM;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;ATG;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;0;0;0;;;;;;;;
